municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Cônego Marinho,CRAS Cônego Marinho,CRAS,"Avenida Marciliano Antonio Lisboa, 8",Centro,39489-000,(38) 999122774,crasconegomarinho@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Confins,CRAS Familias em Ação (Confins),CRAS,"Rua São José, 287",Centroc,33500-000,(31) 36862086,crasconfins@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhal,"CRAS Dona Joana Ferreira dos Santos ""Dona Joana"" (Congonhal)",CRAS,"Rua Jose do Patrocinio, 528",Centro,37584-000,(35) 991860120,assistenciasocial@congonhal.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas,CRAS Alvorada (Congonhas),CRAS,"Rua Felicio Rossi, 226",Alvorada,36410-496,(31) 37320613,crasalvorada@congonhas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas,CRAS Dom Oscar (Congonhas),CRAS,"Rua Sybilla Maria Schuwerber, 353",Cristo Rei,36414-444,(31) 37320614,cras.domoscar@congonhas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas,CRAS Pires (Congonhas),CRAS,"Rua Cruzul, 112",Pires,36415-000,(31) 37320615,craspires@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas,CRAS VILAS - Profeta (Congonhas),CRAS,"Rua Francisco Wenceslau, 126",Jardim Profeta,36412-168,(31) 37320953,crasvilas@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas do Norte,CRAS Congonhas do Norte,CRAS,"AV. Professora Amelia Lages, 502",Centro,35850-000,(31) 984228691,cras@congonhasdonorte.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conquista,CRAS João Salvador da Silva (Conquista),CRAS,"Avenida Tonico Martins, 250",Rosário,38195-000,(34) 998090460,cras@conquista.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CRAS Conselheiro Lafaiete,CRAS,"Avenida Furtado, 230",Santa Terezinha,36406-066,(31) 37649805,crasunidade1@conselheirolafaiete.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CRAS Conselheiro Lafaiete - Manoel de Paula,CRAS,"Rua João dos Santos, 140",Manoel de Paula,36401-160,(31) 37649805,crasunidade2@conselheirolafaiete.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CRAS Conselheiro Lafaiete - Rochedo,CRAS,"Rua Ito Alves, 175",Rochedo,36404-196,(31) 37649805,crasunidade3@conselheirolafaiete.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CRAS Conselheiro Lafaiete - Santa Matilde,CRAS,"Rua São Benedito, 210",Santa Matilde,36405-160,(31) 37649805,crasunidade4@conselheirolafaiete.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CRAS V - Rural (Conselheiro Lafaiete),CRAS,"Rua Rodrigues Maia, 490",Angélica,36401-011,(31) 37649805,crasrural@conselheirolafaiete.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Pena,CRAS Conselheiro Pena,CRAS,"Rua Feliciano Ferraz, 339",Centro,35240-021,(33) 984005895,semase.adm@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Consolação,CRAS casa amigos de coração (Consolação),CRAS,"Rua ananias candido de almeida, 3",Centro,37670-000,(35) 36561303,cras@consolacao.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Casa Amarela (Contagem),CRAS,"Rua Ubatuba, 241",São Mateus,32180-600,(31) 33618626,casaamarela@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Eldorado (Contagem),CRAS,"Rua Buganville, 52",Eldorado,32315-090,(31) 39116774,craseldoradoo@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Icaivera (Contagem),CRAS,"Rua Poranga, 74",Icaivera,32055-160,(31) 33525475,crasicaivera@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Industrial (Contagem),CRAS,"Rua Marquês do Paraná, 95",Industrial,32223-430,(31) 36150405,crasindustrial.2016@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Nacional (Contagem),CRAS,"Rua Felipe dos Santos, 577",Nacional,32185-160,(31) 39139097,cras.nacional@contagem.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Nova Contagem (Contagem),CRAS,"Rua Vl 6, 940",Nova Contagem,32050-325,(31) 3913-1873,crasnovacontagem@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Parque São João (Contagem),CRAS,"Rua Hum, 60",Parque São João,32342-320,(31) 33924125,crasparquesaojoao@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Petrolândia (Contagem),CRAS,"Rua Querosene, 30",Petrolândia,32072-310,(31) 33525608,craspetrolandia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Ressaca (Contagem),CRAS,"Avenida Borba Gato, 255",Jardim Laguna,32140-170,(31) 33574013,crasressaca@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CRAS Sede (Contagem),CRAS,"Rua Joaquim José, 128",Fonte Grande,32013-390,(31) 33525361,crassedee@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coqueiral,CRAS Coqueiral,CRAS,"Rua Ana Neri, 109",Centro,37235-000,(35) 38551162,acsocial@coqueiral.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coração de Jesus,CRAS Renovação (Coração de Jesus),CRAS,"Avenida Herculano Rabelo Filho, 1772",Renovação,39340-000,(38) 32282378,crasrenovacao2017@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coração de Jesus,CRAS Aeroporto (Coração de Jesus),CRAS,Rua Cedro,Aeroporto,39340-000,(38) 32282060,crasaeroporto2014@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coração de Jesus,CRAS Alto Bom Jesus (Coração de Jesus),CRAS,"Avenida Montes Claros, 1747",Sagrada Família,39340-000,(38) 32282215,crasaltobomjesus@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cordisburgo,CRAS Cordisburgo,CRAS,"Rua Geraldino Rocha, 1058",Centro,35780-000,(31) 37151073,cras@cordisburgo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cordislândia,CRAS Cordislândia,CRAS,"Rua Constantino de Oliveira Filho, 342",Centro,37498-000,(35) 32441243,assistencia.social@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Corinto,CRAS Corinto,CRAS,"Rua Guanabara, 211",Vila Marina,39200-000,(38) 37511921,cras@corinto.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coroaci,CRAS Coroaci,CRAS,"Avenida Doutor Ferreira Leite, 90",Centro,39710-000,(33) 32911314,cras.coroaci@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coromandel,"CRAS ""sandra Maria Resende Pereira"" (Coromandel)",CRAS,"Rua Antonio Pena, 59",Brasil Novo,38552-198,(34) 38413731,crascoromandel@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Fabriciano,CRAS Território I (Coronel Fabriciano),CRAS,"Rua São Sebastião, 861",Professores,35170-010,(31) 34067395,cras1@fabriciano.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Fabriciano,CRAS Território Ii (Coronel Fabriciano),CRAS,"Avenida Belo Horizonte, 697",Caladinho de Baixo,35171-167,(31) 34067396,cras2@fabriciano.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Fabriciano,CRAS Território Iii (Coronel Fabriciano),CRAS,"Avenida Sanitária, 2713",Melo Viana,35170-108,(31) 34067397,cras3@fabriciano.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Fabriciano,CRAS Território Iv (Coronel Fabriciano),CRAS,"Rua José Correia, 681",Santa Inês,35170-205,(31) 34067398,cras4@fabriciano.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Murta,CRAS Casa das Famílias (Coronel Murta),CRAS,"Rua Severo Leão, 63",Itaporé Velho,39635-000,(33) 999716264,social@coronelmurta.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Pacheco,CRAS Maria Antônia Ferreira Rezende (Coronel Pacheco),CRAS,"Rua Dos Andradas, 170",Centro,36155-000,(32) 999576092,cras@coronelpacheco.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Xavier Chaves,CRAS Coronel Xavier Chaves,CRAS,"Rua Dom Lara, 20",Centro,36330-000,(32) 32161053,assistentecras@coronelxavierchaves.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Córrego Danta,CRAS Córrego Danta,CRAS,"Rua A, 20",Rosario,38990-000,(37) 34241388,socialcd@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Córrego do Bom Jesus,CRAS Casa das Famílias (Córrego do Bom Jesus),CRAS,"Rua Deputado Milton Salles, 86",Centro,37605-000,(35) 34321173,secretariasocialcbj@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Córrego Fundo,CRAS Novo Rumo (Córrego Fundo),CRAS,"Rua Vinte e Tres de Outubro, 191",Amazonas,35568-000,(37) 33229272,crasnovorumo.cra@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Córrego Novo,CRAS Casa da Família (Córrego Novo),CRAS,"Rua João Pereira Bitarães, 105",São Geraldo,35345-000,(33) 34430019,social@corregonovo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Couto de Magalhães de Minas,CRAS Couto de Magalhães de Minas,CRAS,Rua do Sitio S/n,Centro,39188-000,(38) 999347543,coutosocial2017@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Crisólita,CRAS Esperança (Crisólita),CRAS,"Rua Floresta, 427",Centro,39885-000,(33) 991130612,cras@crisolita.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cristais,CRAS Campos Eliseos (Cristais),CRAS,"Rua Olímpio Moreira Maia, 20",Sao Judas Tadeu,37275-000,(35) 38351151,smascristais@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cristália,CRAS Casa da Familia de Cristalia (Cristália),CRAS,"Rua PEDREIRA, S/Nº",Centro,39598-000,(38) 32321373,crascristalia2018@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cristiano Otoni,CRAS Cristiano Otoni,CRAS,"Rua Vicente de Paula Vieira, 270",Pinheiros,36426-000,(31) 37241264,das_otoni@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cristina,CRAS Casa das Famílias Ana Ferrer Fleming (donana) (Cristina),CRAS,"Rua Coronel Barbosa, 21",Centro,37476-000,(35) 32812133,crascristina@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Crucilândia,CRAS Crucilândia,CRAS,"Praça Dom Silverio, 125",Centro,35478-000,(31) 31575128,crascrucilandia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cruzeiro da Fortaleza,CRAS 1 - Cruzeiro da Fortaleza (Cruzeiro da Fortaleza),CRAS,"Rua Paraiba, 666",Centro,38735-000,(34) 38351408,cras@cruzeirodafortaleza.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cruzília,CRAS Cruzília,CRAS,"Rua Professor Pedro F. de Souza Fundos, 25",Centro,37445-000,(35) 99999999,cras@cruzilia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cuparaque,CRAS Cuparaque,CRAS,"Rua Joaquim Ribeiro de Castro, 449",Centro,35246-000,(33) 32625758,crascuparaque@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Curral de Dentro,CRAS Curral de Dentro,CRAS,"Rua Taiobeiras, 463",Centro,39569-000,(38) 998590213,crascdd@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Curvelo,CRAS Pólo Bela Vista (Curvelo),CRAS,"Rua Ceará, 134",Bela Vista,35796-150,(38) 37214398,crasbelavistacvo@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Curvelo,CRAS Polo Bom Jesus (Curvelo),CRAS,"Avenida Atlantida, 193",Bandeirantes I,35792-604,(38) 37223913,crasbomjesuscvo@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Curvelo,CRAS Polo Ipiranga/ponte Nova (Curvelo),CRAS,"Avenida Ipiranga, 251",Ipiranga,35794-412,(38) 37219282,cras.ipiranga@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Datas,CRAS Datas,CRAS,"Praça Da Biblia, 315",Centro,39130-000,(38) 998492508,cras@datas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Delfim Moreira,CRAS Delfim Moreira,CRAS,"Rua Professor Gustavo S. Moreira, 40",Centro,37514-000,(35) 999113248,crasdelfimmoreira@mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Delfinópolis,CRAS Delfinópolis,CRAS,"Rua José Crisostomo de Castro, 61",Centro,37910-000,(35) 35251536,crasdelfinopolis@outlook.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Delta,CRAS Casa da Família (Delta),CRAS,"Rua Delphina Zago, 35",Centro,38108-000,(34) 33251312,social@delta.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Descoberto,CRAS Vó Tina (Descoberto),CRAS,"Rua Alcino Amino da Silva, 5",Industrial,36690-000,(32) 32651950,as@descoberto.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Desterro de Entre Rios,CRAS Desterro de Entre Rios,CRAS,"Praça Aarão Lima, 40",Centro,35494-000,(31) 37450018,social@desterrodeentrerios.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Desterro do Melo,CRAS Desterro do Melo,CRAS,"Avenida Silverio Augusto de Melo, 158",Fabrica,36210-000,(32) 984234568,cras@desterrodomelo.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Diamantina,CRAS I Regional Rio Grande (Diamantina),CRAS,"Travessa Coronel Caetano Mascarenhas, 76",Rio Grande,39100-000,(38) 999418536,crasriogrande@diamantina.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Diamantina,CRAS Ii Regional Palha (Diamantina),CRAS,"Rua Da Palha, 1893",Palha,39100-000,(38) 997324425,craspalha@diamantina.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Diamantina,CRAS V Regional Bom Jesus (Diamantina),CRAS,"Travessa Agostinho Rocha, 197",Bom Jesus,39100-000,(38) 997323113,crasbomjesus@diamantina.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Diogo de Vasconcelos,CRAS Diogo de Vasconcelos,CRAS,"Rua Padre Arlindo Vieira, 3",Centro,35437-000,(31) 38861115,crasdiogo@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dionísio,CRAS Dionísio,CRAS,"Rua Santa Isabel, 21",Centro,35984-000,(31) 138581429,social@dionisio.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinésia,CRAS Divinésia,CRAS,"Rua José Valente, 66",Centro,36546-000,(32) 35351258,cras@divinesia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divino,CRAS Hamilton da Silva (Divino),CRAS,"Rua Geraldo Magela, 96",Nossa Senhora das Dores,36820-000,(32) 37432325,cras2016v@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divino das Laranjeiras,CRAS Divino das Laranjeiras,CRAS,"Rua Elzebio Miranda, 108",Centro,35265-000,(33) 998232703,fundoassistenciadivino@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinolândia de Minas,CRAS Casa das Famílias (Divinolândia de Minas),CRAS,"Rua Nossa Senhora do Carmo, 47",Centro,39735-000,(33) 34141714,secretariadeassistenciadiv2025@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CRAS Nordeste (Divinópolis),CRAS,"Rua Rubi, 284",Niteroi,35500-218,(37) 32126624,cras-nordeste@divinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CRAS Noroeste (Divinópolis),CRAS,"Rua Pedro Ferreira do Amaral, 30",Bom Pastor,35502-562,(37) 32299757,cras-noroeste@divinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CRAS Sudeste (Divinópolis),CRAS,"Rua José Afonso Micheline, 151",Nossa Senhora das Graças,35501-051,(37) 32155254,cras-sudeste@divinopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CRAS Sudoeste (Divinópolis),CRAS,"Rua Castro Alves, 2020",São José,35501-285,(37) 32299773,coordenacaocrassudoeste@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CRAS Sudoeste Ii (Divinópolis),CRAS,"Rua Goiabeira, 761",Jardinópolis,35501-591,(37) 991810333,CRASJARDINOPOLIS2020SUAS@GMAIL.COM,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divisa Alegre,CRAS Divisa Alegre,CRAS,"Avenida Dona Teca, 44",Centro,39995-000,(33) 997080379,crasdivalegre@outlook.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divisa Nova,CRAS Manuelina Francisca de Brito (Divisa Nova),CRAS,"Rua Antônio Furtado, 81",Curumim,37142-000,(35) 32861200,crasdivisanova@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divisópolis,CRAS Divisópolis,CRAS,"Rua Cecílio Ferreira, 49",Mata Velha,39912-000,(33) 984159630,cras@divisopolis.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Bosco,CRAS Dom Bosco,CRAS,"Avenida Cândido Pereira Campos, 1036",Centro,38654-000,(38) 998304290,assistenciasocialdombosco@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Cavati,CRAS Dom Cavati,CRAS,"Rua Novo Horizonte, 465",Centro,35148-000,(33) 987624744,cras@domcavati.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Joaquim,CRAS São Domingos (Dom Joaquim),CRAS,"Rua Helio Thomaz Neto, 93",Centro,35865-000,(31) 38661598,cras@domjoaquim.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Silvério,CRAS Dom Silvério,CRAS,"Rua Geraldino Lessa, 40",Centro,35440-000,(31) 38571765,cras@domsilverio.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Viçoso,CRAS Dom Viçoso,CRAS,"Rua Dr Altamiro Coli, 600",Centro,37474-000,(35) 999866841,cras@domvicoso.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dona Euzébia,CRAS Luiza de Oliveira Pinto (Dona Euzébia),CRAS,"Rua Manoel Ferreira Espíndola, 37",Centro,36784-000,(32) 34531550,cras.donaeuzebia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dores de Campos,CRAS Casa das Famílias (Dores de Campos),CRAS,"Rua Doutor Silvio Tranqueira, 146",Centro,36213-000,(32) 33532040,crasdoresdecampos@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dores de Guanhães,CRAS Sagrada Familia (Dores de Guanhães),CRAS,"Rua do Rosário, 220",Centro,35894-000,(33) 34261370,social@doresdeguanhaes.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dores do Indaiá,CRAS Dores do Indaiá,CRAS,"Rua Caetés, 40",São José,35610-000,(37) 35516286,crasdoresdoindaia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dores do Turvo,"CRAS ""Novo Horizonte"" Dores do Turvo/MG (Dores do Turvo)",CRAS,"Praça Cônego Agostinho José de Resende, 30",Centro,36513-000,(08) 800323040,smas.dt2020@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Doresópolis,"CRAS ""Casa da Famila"" (Doresópolis)",CRAS,"Rua Maria Ferreira Cesario, 7",Centro,37926-000,(37) 34410006,dmasdoresopolis@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Douradoquara,CRAS Douradoquara,CRAS,"Outros Antônio Davi Ramos, 286",Centro,38530-000,(34) 988972179,socialdouradoquara@bol.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Durandé,CRAS Durandé,CRAS,"Av. Álvaro Moreira da Silva, 369",Centro,36974-000,(33) 33421184,crasdurande2015@outlook.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Elói Mendes,CRAS Elói Mendes,CRAS,"Rua Benjamim Constant, 496",Centro,37110-000,(35) 32643434,cras.adm@eloimendes.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Engenheiro Caldas,CRAS Engenheiro Caldas,CRAS,"Avenida Padre João Pina do Amaral, 384",Vila Rainha,35130-000,(33) 32344214,cras.engenheirocaldas@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Engenheiro Navarro,CRAS Joao Auxiliador das Graças Dias (Engenheiro Navarro),CRAS,"Rua Montes Claros, 62",Centro,39363-000,(38) 997220263,cras@engenheironavarro.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Entre Folhas,CRAS Casa da Família (Entre Folhas),CRAS,"Rua Paulo Guerra, 95",Barreira,35324-000,(33) 33246112,crasfolhas.mg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Entre Rios de Minas,CRAS Entre Rios de Minas,CRAS,"Rua Ladislau Ferreira Maia, 62",Jardim Primavera,35490-000,(31) 37512707,cras@entreriosdeminas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ervália,CRAS Ervália,CRAS,Avenida Progresso,Centro,36555-000,(32) 35541730,casadasfamiliascraservalia@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Esmeraldas,CRAS Dumaville (Esmeraldas),CRAS,"Avenida Luiza Gonçlves de Oliveira, 235",Comercial Caio Martins,32803-262,(31) 21186246,crasdumaville@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Esmeraldas,CRAS Novo Retiro (Esmeraldas),CRAS,"Rua das Mangueiras, 361",Novo Retiro,32807-062,(31) 21186247,crasnovoretiro@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Esmeraldas,CRAS Santa Cecília (Esmeraldas),CRAS,"Rua São Pedro, 126",Santa Cecília,32809-406,(31) 21186248,cras.santacecilia@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Esmeraldas,CRAS Tijuco (Esmeraldas),CRAS,"Rua Antonio Carlos, 26",Tijuco,32809-899,(31) 21186249,crastijuco3@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espera Feliz,CRAS Santa Cecília (Espera Feliz),CRAS,"Rua Jair Rubio de Amorim, 181",Centro,36830-000,(32) 984686063,crassc@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espera Feliz,CRAS Santa Inês (Espera Feliz),CRAS,"Rua Raimunda Filomena de Amorim, 40",Santa Inês,36830-000,(32) 984557153,crasesperafeliz@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espinosa,CRAS Irmã Dulce (Espinosa),CRAS,"Rua Antonio Antunes, 55",Jardim Oriente,39510-000,(38) 991392625,cras2irmadulce@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espinosa,CRAS João Paulo Ii (Espinosa),CRAS,"Rua Antônio Barbosa Lima, 641",João Paulo Ii,39510-000,(38) 988114887,crasjoaopaulo2esp@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espírito Santo do Dourado,CRAS Espírito Santo do Dourado,CRAS,"Travessa domingos giannini, 28",Centro,37566-000,(35) 34541178,crasesd@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Estiva,CRAS Casa da Família (Estiva),CRAS,"Rua Professora Daria Bueno, 320",Centro,37542-000,(35) 34621178,cras@estiva.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Estrela Dalva,CRAS Anselmo Otton Cavallaro (Estrela Dalva),CRAS,"Rua Manoel Antonio Cardoso, 1",Centro,36725-000,(32) 34641146,cras@estreladalva.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Estrela do Indaiá,CRAS Estrela do Indaiá,CRAS,"Rua Antônio de Sousa, 100",Centro,35613-000,(37) 998394250,cras@estreladoindaia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Estrela do Sul,CRAS Nadir Resende (Estrela do Sul),CRAS,"Rua Padre Júlio Raz, 94",Centro,38525-000,(34) 38431200,estrelasuasmg@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Eugenópolis,CRAS Marcelino José dos Reis Carvalho (Eugenópolis),CRAS,"Avenida Rômulo Carvalho, 60",Centro,36855-000,(32) 37241203,craseugenopolis@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ewbank da Câmara,CRAS Ewbank da Câmara,CRAS,"Rua Antônio Ribeiro de Novais, 351",Centro,36108-000,(32) 32551592,diretoriacras@outlook.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Extrema,CRAS Leste (Extrema),CRAS,"Rua Benedito José de Toledo, 86",Vila Rica,37640-000,(35) 99311833,coordenacao.cras@extrema.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Extrema,CRAS Sul (Extrema),CRAS,"Rua Grécia, 170",Jardim Europa,37640-000,(35) 997681997,coordenacao.cras@extrema.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Extrema,CRAS Extrema,CRAS,"Praça Olinto da Fonseca, 12",Centro,37640-000,(35) 34355890,coordenacaocras1@extrema.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Fama,CRAS Cecilio Abráscio (Fama),CRAS,"Avenida Capitão Pedro Pinto Fernandes, 147",Centro,37144-000,(35) 32961125,crasfama@fama.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
